Position,Track Name,Artist,Streams,date,region,spotify_id
1,rockstar,Post Malone,9855305,2018-01-05--2018-01-12,us,7wGoVu4Dady5GV0Sv4UIsx
2,Finesse - Remix; feat. Cardi B,Bruno Mars,8504248,2018-01-05--2018-01-12,us,3Vo4wInECJQuz9BIBMOu8i
3,No Limit,G-Eazy,7685058,2018-01-05--2018-01-12,us,2DQ1ITjI0YoLFzuADN1ZBW
4,Bartier Cardi (feat. 21 Savage),Cardi B,7439471,2018-01-05--2018-01-12,us,75FDPwaULRdYDn4StFN2rT
5,I Fall Apart,Post Malone,6971450,2018-01-05--2018-01-12,us,75ZvA4QfFiZvzhj2xkaWAh
6,Ric Flair Drip (& Metro Boomin),Offset,6419256,2018-01-05--2018-01-12,us,7sO5G9EABYOXQKNPNiE9NR
7,All The Stars (with SZA),Kendrick Lamar,6406373,2018-01-05--2018-01-12,us,66kQ7wr4d2LwwSjr7HXcyr
8,Him & I (with Halsey),G-Eazy,6239280,2018-01-05--2018-01-12,us,5k38wzpLb15YgncyWdTZE4
9,Havana,Camila Cabello,5860925,2018-01-05--2018-01-12,us,0ofbQMrRDsUaVKq2mGLEAb
10,LOVE. FEAT. ZACARI.,Kendrick Lamar,5657847,2018-01-05--2018-01-12,us,6PGoSes0D9eUDeeAafB2As
11,Codeine Dreaming (feat. Lil Wayne),Kodak Black,5505158,2018-01-05--2018-01-12,us,4DTpngLjoHj5gFxEZFeD3J
12,Let You Down,NF,5215443,2018-01-05--2018-01-12,us,6mrKP2jyIQmM0rw6fQryjr
13,Candy Paint,Post Malone,5110437,2018-01-05--2018-01-12,us,42CeaId2XNlxugDvyqHfDf
14,Filthy,Justin Timberlake,5048103,2018-01-05--2018-01-12,us,1L3NV7VrCiuE8C5QlhdeQL
15,Gucci Gang,Lil Pump,4996794,2018-01-05--2018-01-12,us,43ZyHQITOjhciSUUNPVRHc
16,River (feat. Ed Sheeran),Eminem,4875212,2018-01-05--2018-01-12,us,5UEnHoDYpsxlfzWLZIc7LD
17,XO Tour Llif3,Lil Uzi Vert,4828478,2018-01-05--2018-01-12,us,7GX5flRQZVHRAGd6B4TmDO
18,PICK IT UP (feat. A$AP Rocky),Famous Dex,4680932,2018-01-05--2018-01-12,us,3ncgNpxLoBQ65ABk4djDyd
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4589237,2018-01-05--2018-01-12,us,5AEtlRudpgdT5FtNiuly6Y
20,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4497907,2018-01-05--2018-01-12,us,7iDa6hUg2VgEL1o1HjmfBn
21,MotorSport,Migos,4457378,2018-01-05--2018-01-12,us,1YZfcVLbbJwfizR5cDOp3q
22,Bank Account,21 Savage,4419534,2018-01-05--2018-01-12,us,2fQrGHiQOvpL9UgPvtYy6G
23,Wolves,Selena Gomez,4409183,2018-01-05--2018-01-12,us,7EmGUiUaOSGDnUUQUDrOXC
24,Too Good At Goodbyes,Sam Smith,4362005,2018-01-05--2018-01-12,us,1mXVgsBdtIVeCLJnSnmtdV
25,Plain Jane,A$AP Ferg,4361670,2018-01-05--2018-01-12,us,4dVpf9jZjcORqGTLUaeYj9
26,HUMBLE.,Kendrick Lamar,4306140,2018-01-05--2018-01-12,us,7KXjTSCq5nL1LoYtL7XAwS
27,Sky Walker (feat. Travis Scott),Miguel,4290792,2018-01-05--2018-01-12,us,5WoaF1B5XIEnWfmb5NZikf
28,Perfect,Ed Sheeran,4268123,2018-01-05--2018-01-12,us,0tgVpDi06FyKpA1z0VMD4v
29,New Rules,Dua Lipa,4227667,2018-01-05--2018-01-12,us,2ekn2ttSfGqwhhate0LSR0
30,Congratulations,Post Malone,4113995,2018-01-05--2018-01-12,us,3a1lNhkSLSkpJE4MSHpDu9
31,Young Dumb & Broke,Khalid,4014104,2018-01-05--2018-01-12,us,5Z3GHaZ6ec9bsiI5BenrbY
32,Betrayed,Lil Xan,3929719,2018-01-05--2018-01-12,us,6NWl2m8asvH83xjuXVNsuG
33,Silence,Marshmello,3884863,2018-01-05--2018-01-12,us,7vGuf3Y35N4wmASOKLUVVU
34,Never Be the Same,Camila Cabello,3815871,2018-01-05--2018-01-12,us,6VpQdig9pdpTSIFItgkJV5
35,1-800-273-8255,Logic,3745379,2018-01-05--2018-01-12,us,5tz69p7tJuGPeMGwNTxYuV
36,What Lovers Do (feat. SZA),Maroon 5,3728239,2018-01-05--2018-01-12,us,3hBBKuWJfxlIlnd9QFoC8k
37,Stir Fry,Migos,3700208,2018-01-05--2018-01-12,us,4fndbjoz1qJyK6JcLdKfzm
38,Tell Me You Love Me,Demi Lovato,3688248,2018-01-05--2018-01-12,us,5Htb1uFQ1KrkFXlefS8oGj
39,I Get the Bag (feat. Migos),Gucci Mane,3648863,2018-01-05--2018-01-12,us,1XRgIKC5TPwo7nWGyKqgG0
40,Bodak Yellow,Cardi B,3615183,2018-01-05--2018-01-12,us,2771LMNxwf62FTAdpJMQfM
41,Bad At Love,Halsey,3459502,2018-01-05--2018-01-12,us,7y9iMe8SOB6z3NoHE2OfXl
42,goosebumps,Travis Scott,3327102,2018-01-05--2018-01-12,us,6gBFPUFcJLzWGx4lenP6h2
43,BUTTERFLY EFFECT,Travis Scott,3257935,2018-01-05--2018-01-12,us,1yxgsra98r3qAtxqiGZPiX
44,Thunder,Imagine Dragons,3252233,2018-01-05--2018-01-12,us,0tKcYR2II1VCQWT79i5NrW
45,Roll In Peace (feat. XXXTENTACION),Kodak Black,3212271,2018-01-05--2018-01-12,us,40oKW22ZNNkEdZLJTScaQI
46,End Game,Taylor Swift,3164402,2018-01-05--2018-01-12,us,2x0WlnmfG39ZuDmstl9xfX
